Date,Match_id,Season,Team,Opposition,Status,Venue,Round,results,Margin,Odds,line_Odds,Opp_Odds,Opp_lineOdds
2020-06-18 19:40:00,9946,2020,Richmond,Hawthorn,Home,M.C.G.,Round 3,999,999,1.35,-16.5,3.25,16.5
2020-06-19 19:50:00,9947,2020,Western Bulldogs,GWS,Home,Docklands,Round 3,999,999,2.45,9.5,1.56,-9.5
2020-06-20 13:45:00,9948,2020,North Melbourne,Sydney,Home,Docklands,Round 3,999,999,1.56,-9.5,2.45,9.5
2020-06-20 16:35:00,9949,2020,Collingwood,St Kilda,Home,M.C.G.,Round 3,999,999,1.38,16.5,3.1,-16.5
2020-06-20 19:40:00,9950,2020,Brisbane,West Coast,Home,Gabba,Round 3,999,999,1.78,-3.5,2.05,3.5
2020-06-20 19:40:00,9951,2020,Geelong,Carlton,Home,Kardinia Park,Round 3,999,999,1.15,-27.5,5.5,27.5
2020-06-21 13:05:00,9952,2020,Gold Coast,Adelaide,Home,Carrara,Round 3,999,999,1.85,-1.5,1.97,1.5
2020-06-21 15:35:00,9953,2020,Essendon,Melbourne,Home,M.C.G.,Round 3,999,999,1.87,-1.5,1.95,1.5
2020-06-21 18:05:00,9954,2020,Fremantle,Port Adelaide,Home,Carrara,Round 3,999,999,3.35,21.5,1.33,-21.5
2020-06-18 19:40:00,9946,2020,Hawthorn,Richmond,Away,M.C.G.,Round 3,999,999,3.25,16.5,1.35,-16.5
2020-06-19 19:50:00,9947,2020,GWS,Western Bulldogs,Away,Docklands,Round 3,999,999,1.56,-9.5,2.45,9.5
2020-06-20 13:45:00,9948,2020,Sydney,North Melbourne,Away,Docklands,Round 3,999,999,2.45,9.5,1.56,-9.5
2020-06-20 16:35:00,9949,2020,St Kilda,Collingwood,Away,M.C.G.,Round 3,999,999,3.1,-16.5,1.38,16.5
2020-06-20 19:40:00,9950,2020,West Coast,Brisbane,Away,Gabba,Round 3,999,999,2.05,3.5,1.78,-3.5
2020-06-20 19:40:00,9951,2020,Carlton,Geelong,Away,Kardinia Park,Round 3,999,999,5.5,27.5,1.15,-27.5
2020-06-21 13:05:00,9952,2020,Adelaide,Gold Coast,Away,Carrara,Round 3,999,999,1.97,1.5,1.85,-1.5
2020-06-21 15:35:00,9953,2020,Melbourne,Essendon,Away,M.C.G.,Round 3,999,999,1.95,1.5,1.87,-1.5
2020-06-21 18:05:00,9954,2020,Port Adelaide,Fremantle,Away,Carrara,Round 3,999,999,1.33,-21.5,3.35,21.5
