Date,Match_id,Season,Team,Opposition,Status,Venue,Round,match_num,,Loss_prob,Win_Prob,Draw_Prob
2020-06-11 19:40:00,9937,2020,Collingwood,Richmond,Home,M.C.G.,Round 2,239,0,0.5645159,0.4232662,0.012217889
2020-06-12 19:50:00,9938,2020,Geelong,Hawthorn,Home,Kardinia Park,Round 2,242,0,0.5259638,0.4635865,0.01044969
2020-06-13 13:45:00,9939,2020,Brisbane,Fremantle,Home,Gabba,Round 2,224,1,0.2858163,0.7097961,0.004387597
2020-06-13 16:35:00,9940,2020,Carlton,Melbourne,Home,Docklands,Round 2,227,1,0.2898202,0.7057402,0.004439633
2020-06-13 19:10:00,9941,2020,Port Adelaide,Adelaide,Home,Adelaide Oval,Round 2,228,1,0.3961972,0.5971369,0.006665902
2020-06-13 19:40:00,9942,2020,Gold Coast,West Coast,Home,Carrara,Round 2,200,0,0.841924,0.1552408,0.00283519
2020-06-14 13:05:00,9943,2020,GWS,North Melbourne,Home,Sydney Showground,Round 2,189,1,0.4141299,0.5789703,0.006899775
2020-06-14 15:35:00,9944,2020,Sydney,Essendon,Home,S.C.G.,Round 2,244,0,0.5507709,0.4372107,0.012018457
2020-06-14 18:05:00,9945,2020,St Kilda,Western Bulldogs,Home,Docklands,Round 2,227,0,0.6685018,0.3209737,0.010524438
2020-06-11 19:40:00,9937,2020,Richmond,Collingwood,Away,M.C.G.,Round 2,233,1,0.4224884,0.5703869,0.007124751
2020-06-12 19:50:00,9938,2020,Hawthorn,Geelong,Away,Kardinia Park,Round 2,243,1,0.4731114,0.5185431,0.008345529
2020-06-13 13:45:00,9939,2020,Fremantle,Brisbane,Away,Gabba,Round 2,233,0,0.6690413,0.3205074,0.010451313
2020-06-13 16:35:00,9940,2020,Melbourne,Carlton,Away,Docklands,Round 2,225,0,0.6687235,0.3208644,0.010412168
2020-06-13 19:10:00,9941,2020,Adelaide,Port Adelaide,Away,Adelaide Oval,Round 2,231,0,0.6297758,0.3578883,0.012335916
2020-06-13 19:40:00,9942,2020,West Coast,Gold Coast,Away,Carrara,Round 2,238,1,0.1331939,0.8650661,0.001740141
2020-06-14 13:05:00,9943,2020,North Melbourne,GWS,Away,Sydney Showground,Round 2,230,0,0.5687864,0.4182156,0.012998018
2020-06-14 15:35:00,9944,2020,Essendon,Sydney,Away,S.C.G.,Round 2,226,1,0.4775018,0.5139994,0.008498753
2020-06-14 18:05:00,9945,2020,Western Bulldogs,St Kilda,Away,Docklands,Round 2,231,1,0.2905926,0.704942,0.004465316
